[config] 70 conditions, 1,000,000 samples each, 8 workers
[cache] 0 already computed, 70 pending
[1/70] pair_9  (191.1s)
[2/70] pair_6  (192.3s)
[3/70] pair_7  (192.7s)
[4/70] pair_8  (193.0s)
[5/70] pair_5  (193.3s)
[6/70] pair_2  (194.7s)
[7/70] pair_3  (194.8s)
[8/70] pair_4  (195.6s)
[9/70] trips_3  (192.5s)
[10/70] trips_2  (193.4s)
[11/70] trips_4  (192.8s)
[12/70] pair_10  (199.4s)
[13/70] pair_J  (200.6s)
[14/70] pair_A  (199.8s)
[15/70] pair_K  (200.2s)
[16/70] pair_Q  (201.1s)
[17/70] trips_5  (177.7s)
[18/70] trips_6  (177.4s)
[19/70] trips_7  (177.2s)
[20/70] trips_8  (176.3s)
[21/70] trips_10  (175.4s)
[22/70] trips_J  (175.4s)
[23/70] trips_9  (176.1s)
[24/70] trips_Q  (176.1s)
[25/70] trips_K  (180.6s)
[26/70] trips_A  (180.6s)
[27/70] suited_high_4  (191.9s)
[28/70] suited_high_3  (194.0s)
[29/70] suited_high_5  (191.3s)
[30/70] suited_high_6  (192.1s)
[31/70] suited_high_7  (192.2s)
[32/70] suited_high_8  (192.6s)
[33/70] suited_high_9  (186.6s)
[34/70] suited_high_10  (187.0s)
[35/70] suited_high_J  (187.1s)
[36/70] suited_high_K  (187.0s)
[37/70] suited_high_Q  (188.8s)
[38/70] suited_high_A  (188.5s)
[39/70] 3suited_high_4  (188.9s)
[40/70] 3suited_high_5  (189.3s)
[41/70] 3suited_high_6  (180.3s)
[42/70] 3suited_high_7  (180.9s)
[43/70] 3suited_high_8  (178.3s)
[44/70] 3suited_high_9  (178.5s)
[45/70] 3suited_high_10  (179.2s)
[46/70] 3suited_high_J  (179.6s)
[47/70] 3suited_high_Q  (179.4s)
[48/70] 3suited_high_K  (180.1s)
[49/70] adjacent_low_2  (174.8s)
[50/70] 3suited_high_A  (178.2s)
[51/70] adjacent_low_3  (173.6s)
[52/70] adjacent_low_4  (173.3s)
[53/70] adjacent_low_5  (174.4s)
[54/70] adjacent_low_6  (173.8s)
[55/70] adjacent_low_7  (174.3s)
[56/70] adjacent_low_8  (174.0s)
[57/70] adjacent_low_9  (173.9s)
[58/70] adjacent_low_10  (173.7s)
[59/70] adjacent_low_J  (173.2s)
[60/70] adjacent_low_Q  (172.9s)
[61/70] adjacent_low_K  (174.5s)
[62/70] 3range_low_2  (177.6s)
[63/70] 3range_low_3  (177.1s)
[64/70] 3range_low_4  (177.1s)
[65/70] 3range_low_5  (171.3s)
[66/70] 3range_low_6  (171.2s)
[67/70] 3range_low_7  (170.2s)
[68/70] 3range_low_8  (169.7s)
[69/70] 3range_low_9  (170.7s)
[70/70] 3range_low_10  (170.5s)
[done] 70 conditions in 27.5 min
[done] wrote /Users/connorlockhart/Documents/GitHub/LaTeX Files/papers/Liars poker/agent/data/extended_conditional_probs.json
[done] wrote /Users/connorlockhart/Documents/GitHub/LaTeX Files/papers/Liars poker/agent/data/extended_conditional_probs_ranked.json
